frequency_rank,word,meaning,transliteration,menukad,part_of_speech,root
3784,הרשמית,the official (f.s.),harishmit,,,
3785,לממשלה,for/to a government,lememshala,,,
3786,לממשלה,for/to the government,lamemshala,,,
3787,למטרה,to/for a goal / to/for a target / for a purpose,lematara,,,
3788,למטרה,to/for the goal / to/for the target / for the purpose,lamatara,,,
3789,השבטים,the tribes,hashvatim,,,
3790,צבאות,armies,tsva'ot,,,
3791,ביצעו,performed (pl.),bits'u,,,
3792,בזירה,in an arena / at a scene,bezira,,,
3793,בזירה,in the arena / at the scene,bazira,,,
3794,מאמצים,efforts,ma'amatsim,,,
3795,מכלל,from all of,miklal,,,
3796,התוצאות,the results / the outcomes / the consequences,hatotsa'ot,,,
3797,סירבו,refused (pl.),servu,,,
3798,ניהול,management,nihul,,,
3799,מוחלטת,decisive / definite / total (f.s.),mukhletet,,,
3800,ואכן,and indeed,ve'akhen,,,
3801,שנקראה,that/who is called (f.s.),shenikre'a,,,
3802,הובילו,led / transported (pl.),hovilu,,,
3803,החליטו,decided (pl.),hekhlitu,,,
3804,בערים,in cities,be'arim,,,
3805,בערים,in the cities,ba'arim,,,
3806,רדיו,radio,radio,,,
3807,סייעו,assisted / helped (pl.),siy'u,,,
3808,מסוף,terminal,masof,,,
3809,והפך,and turned (m.s.),vehafakh,,,
3810,חינוך,education,khinukh,,,
3811,חלוקת,division of,khalukat,,,
3812,חוקים,laws,khukim,,,
3813,כנסיית,the church of,knesiyat,,,
3814,המושבה,the village,hamoshava,,,
3815,השלב,the stage / the phase / the rung,hashalav,,,
3816,האות,the sign / the signal / the letter,ha'ot,,,
3817,לנשים,for/to women,le'nashim,,,
3818,לנשים,for/to the women,la'nashim,,,
3819,תנאים,conditions / provisions,tna'im,,,
3820,אימון,training / practice,imun,,,
3821,חברות,friendship / membership,khaverut,,,
3822,חברות,friends (f.),khaverot,,,
3823,כללית,general (f.s.),klalit,,,
3824,המשמש,that is used for (m.s.),hameshamesh,,,
3825,הגן,defended (m.s.),hegen,,,
3826,בינלאומי,international (m.s.),beynle'umi,,,
3827,בנושאים,on subjects,benos'im,,,
3828,בנושאים,on the subjects,banos'im,,,
3829,לאמנות,to art,le'omanut,,,
3830,לאמנות,to the art,la'omanut,,,
3831,לאמנות,to treaties / to conventions,le'amanot,,,
3832,לאמנות,to the treaties / to the conventions,la'amanot,,,
3833,קבוצתו,his group,kvutsato,,,
3834,עיקריים,main / principal / primary (m.pl.),ikariyim,,,
3835,המוזיאון,the museum,hamuze'on,,,
3836,הפתיחה,the opening,haptikha,,,
3837,בהיעדר,in (the) absence of / in (the) lack of,behe'eder,,,
3838,צלזיוס,Celsius,tselsius,,,
3839,נתונים,data / given (m.pl.),netunim,,,
3840,סילוק,removal / dismissal,siluk,,,
3841,במקורות,[in] the sources / in the text,bamekorot,,,
3842,במקורות,[in] the sources of,bimkorot,,,
3843,ריבוי,plurality / multitude / variety,ribui,,,
3844,מכון,institute,makhon,,,
3845,לוואי,adjunct / secondary / if only,levai,,,
3846,ברשימת,in the list of,birshimat,,,
3847,לשפה,to/for the language / to/for the lip / to/for the edge,lasafa,,,
3848,לשפה,to/for a language / to/for a lip / to/for an edge,lesafa,,,
3849,הבקיע,scored goal (m.s.),hivki'a,,,
3850,ריצה,run / served (penalty) (m.s.),ritsa,,,
3851,החולד,the Spalax,hakholed,,,
3852,עניתי,I answered,aniti,,,
3853,שאנחנו,that we,she'anakhnu,,,
3854,השמיכה,the blanket,hasmikha,,,
3855,השוטר,the policeman,hashoter,,,
3856,הקוקיה,the cuckoo,hakukiya,,,
3857,הפרעוש,the flea,hapar'osh,,,
3858,האיכר,the peasant / the farmer,ha'ikar,,,
3859,הספסל,the bench,hasafsal,,,
3860,התפוח,the apple,hatapu'akh,,,
3861,התפוח,the tumid (m.s.),hatafu'akh,,,
3862,הפשע,the crime,hapesha,,,
3863,נמלים,harbors / ants,nemalim,,,
3864,לעצמי,for myself,le'atsmi,,,
3865,העורך,the editor,ha'orekh,,,
3866,היקר,the dear / the expensive,hayakar,,,
3867,הציפורים,the birds,hatsiporim,,,
3868,ישבו,sat (pl.),yashvu,,,
3869,להטיל,to cast / to throw / / to project / to lay eggs,lehatil,,,
3870,שכר,fee / wage,sakhar,,,
3871,בראשי,in my head,beroshi,,,
3872,ילדי,the children of,yaldei,,,
3873,עמוקה,deep (f.s.),amuka,,,
3874,הבוקר,the morning,haboker,,,
3875,הבוקר,the cowboy,haboker,,,
3876,ליום,for [day / date] / for a day,leyom,,,
3877,לצפות,to watch / to observe / to anticipate,litspot,,,
3878,לצפות,to cover / to coat / to expect,letsapot,,,
3879,העדה,the witness (f.s.) / the congregation,ha'eda,,,
3880,צל,shadow,tsel,,,
3881,מוסר,morale / ethics,musar,,,
3882,מוסר,deliver (m.s.) / deliverer,moser,,,
3883,נעים,pleasant,na'im,,,
3884,ושאר,and the rest,ush'ar,,,
3885,ואחד,and one (m.),ve'ekhad,,,
3886,עומדים,stand / are about to / endure / succeed / insist on (m.pl.),omdim,,,
3887,אות,sign / signal / letter,ot,,,
3888,חוף,beach,khof,,,
3889,הרגיל,the usual (m.s.),haragil,,,
3890,רגילה,usual / used to (f.s.),regila,,,
3891,נוטה,inclined / tends to / tilted (m.s.),note,,,
3892,נכונה,correct / ready (f.s.),nekhona,,,
3893,מוכנים,ready / willing (m.pl.),mukhanim,,,
3894,יכולתו,his ability / his capability,yekholto,,,
3895,וכלי,and an article / and a dish / and a vessel / and ware / and a tool,ukhli,,,
3896,שמירה,keeping / guarding / protection,shmira,,,
3897,המראה,the sight / the view / the appearance,hamar'e,,,
3898,המראה,the mirror / that/who shows (f.s.),hamar'a,,,
3899,הנמל,the harbor,hanamal,,,
3900,הנקבה,the female,hanekeva,,,
3901,הנקבה,the tunnel,hanikba,,,
3902,דלק,fuel,delek,,,
3903,בשיר,in the song / in the poem,bashir,,,
3904,בשיר,in a song / in a poem,beshir,,,
3905,לזו,for this (f.),lazo,,,
3906,לכדי,about / to,likhdei,,,
3907,שעדיין,that still,she'adayin,,,
3908,פירוש,meaning / explanation / interpretation,perush,,,
3909,פקודה,order,pkuda,,,
3910,עצמאי,independent (m.s.),atsma'i,,,
3911,חלה,became sick / challah (bread),khala,,,
3912,זוכה,wins / winner (m.s.),zokhe,,,
3913,זוכה,wins / winner (f.s.),zokha,,,
3914,זוכה,was acquitted (m.s.),zuka,,,
3915,כבדה,heavy (f.s.),kveda,,,
3916,המדע,the science,hamada,,,
3917,העין,the eye,ha'ayin,,,
3918,הכלי,the article / the dish / the vessel / the ware / the tool,hakli,,,
3919,הטרור,the terror,hateror,,,
3920,הניסיון,the trial / the experience / the attempt,hanisayon,,,
3921,גבול,border / limit,gvul,,,
3922,במטבח,in the kitchen,bamitbakh,,,
3923,בשמו,on his behalf / in his name,bishmo,,,
3924,בעבודה,in work,be'avoda,,,
3925,בעבודה,at work,ba'avoda,,,
3926,רפואה,medicine,refu'a,,,
3927,סיפורי,my story,sipuri,,,
3928,נלחמו,fought (pl.),nilkhamu,,,
3929,נהנה,enjoys (m.s.),nehene,,,
3930,נהנה,enjoyed (m.s.),nehena,,,
3931,שביתת,strike of,shvitat,,,
3932,מאורע,event,me'ora,,,
3933,המפקד,the commander,hamefaked,,,
3934,המפקד,the census / the muster,hamifkad,,,
3935,מלכתחילה,from the beginning / to begin with,milkhatkhila,,,
3936,החוקים,the laws,hakhukim,,,
3937,רכוש,property,rekhush,,,
3938,התקפות,attacks,hatkafot,,,
3939,בתמורה,in return / in exchange / in a change / in a transformation,bitmura,,,
3940,בתמורה,in the change / in the transformation,batmura,,,
3941,בקרבות,in battles,bekravot,,,
3942,להפסיק,to stop / to cease,lehafsik,,,
3943,שלל,negated (m.s.) / denied (m.s.) / loot / plunder,shalal,,,
3944,חופשיים,free (m.pl.),khofshiyim,,,
3945,המושבות,the villages / the colonies,hamoshavot,,,
3946,התקדמות,advance / progress,hitkadmut,,,
3947,במקומו,in his place,bimkomo,,,
3948,נשלח,was sent (m.s.) / we will send,nishlakh,,,
3949,מיקום,location,mikum,,,
3950,חידוש,innovation,khidush,,,
3951,טווח,range,tvakh,,,
3952,תיאטרון,theater,te'atron,,,
3953,תקדים,precedent,takdim,,,
3954,וכתוצאה,and as a result,uketotsa'a,,,
3955,פרטיים,private (m.pl.),pratiyim,,,
3956,הובאו,were brought,huv'u,,,
3957,החלטות,decisions,hakhlatot,,,
3958,מתקיים,held / carried out / maintained / survives (m.s.),mitkayem,,,
3959,מוסד,institution,mosad,,,
3960,לסרט,to/for a movie / to/for a ribbon/strip,leseret,,,
3961,לסרט,to/for the movie / to/for the ribbon/strip,laseret,,,
3962,וניתן,and it is possible / and is given,venitan,,,
3963,וניתן,and we will give,veniten,,,
3964,קודש,holiness,kodesh,,,
3965,עלול,might (m.s.),alul,,,
3966,אישים,personage,ishim,,,
3967,מורכבת,complex / composed of (f.s.),murkevet,,,
3968,מחלקת,divide (f.s.),mekhaleket,,,
3969,מחלקת,department of,makhleket,,,
3970,מגורים,residence / stimulated,megurim,,,
3971,מבקרים,visitors / critics / inspectors,mevakrim,,,
3972,יצירות,formations / creations / works of art / compositions,yetsira,,,
3973,לציין,to note / to indicate,letsayen,,,
3974,ובעל,and an owner / and the owner of / and a husband,uva'al,,,
3975,שנבנה,that was built (m.),shenivna,,,
3976,פגש,met (m.s.),pagash,,,
3977,המושג,the concept / the is obtained / that is achieved,hamusag,,,
3978,המשתתפים,the participants,hamishtatfim,,,
3979,העוסק,that/who deals / that/who engages / works (m.s.),ha'osek,,,
3980,הגל,the wave,hagal,,,
3981,דוגמאות,samples / examples,dugma'ot,,,
3982,במגוון,in a variety,bemigvan,,,
3983,בהיותו,as he / being [X],beheyoto,,,
3984,ניצב,stands / perpendicular / vertical,nitsav,,,
3985,עיוורים,blind (pl.),ivrim,,,
3986,המרי,the rebellion,hameri,,,
3987,מחלקה,department,makhlaka,,,
3988,ובייחוד,and especially,uveyikhud,,,
3989,במקרא,in the Bible / in the legend,bamikra,,,
3990,מציג,introduces / displays / presents / exhibits (m.s.),metsig,,,
3991,תרגום,translation,targum,,,
3992,בשיטות,[by] the methods,bashitot,,,
3993,בשיטות,[by] methods,beshitot,,,
3994,באולימפיאדת,in the Olympiad of,be'olimpyadat,,,
3995,אורגניות,organic (f.pl.),organiyot,,,
3996,החשמלי,the electric,hakhashmali,,,
3997,פעמי,time (adj.),pe'ami,,,
3998,פעמי,unique / disposable,[khad] pe'ami,,,
3999,פעמי,steps of,pa'amei,,,
4000,השמיע,made a sound / announced,hishmi'a,,,
4001,ביצה,egg,beitsa,,,
4002,ביצה,swamp,bitsa,,,
4003,באיזה,in which / in what (m.),be'eize,,,
4004,לגדול,to grow,ligdol,,,
4005,ארוחת,meal of,arukhat,,,
4006,בונה,builds (m.s.),bone,,,
4007,בונה,builds (f.s.),bona,,,
4008,וכמו,and like,vekmo,,,
4009,האוכל,the food,ha'okhel,,,
4010,האוכל,the one who eats,ha'okhel,,,
4011,מבט,look,mabat,,,
4012,וכמה,and how many / and how much / and some,vekhama,,,
4013,שעת,hour of / time of / time for,sheat,,,
4014,דיבר,spoke / talked (m.s.) / commandment,diber,,,
4015,שעברה,that passed (f.s.),she'avra,,,
4016,מקבלים,receive / accept (m.pl.),mekablim,,,
4017,לנצח,to win,lenatse'akh,,,
4018,לנצח,forever,lanetsakh,,,
4019,פועלת,worker / operates (f.s.),po'elet,,,
4020,הבטיח,promised,hevti'akh,,,
4021,למלך,to/for a king,lemelekh,,,
4022,למלך,to/for the king,lamelekh,,,
4023,שירות,service,sherut,,,
4024,היכולת,the ability / the capability,hayekholet,,,
4025,סיכוי,chance / probability,sikui,,,
4026,מוכן,ready / willing (m.s.),mukhan,,,
4027,שורות,lines,shurot,,,
4028,המחלקה,the department,hamakhlaka,,,
4029,ההצלחה,the success,hahatslakha,,,
4030,ההסכם,the agreement,haheskem,,,
4031,הסיכוי,the chance / the probability,hasikui,,,
4032,גרעיני,nuclear,gar'ini,,,
4033,בהגנה,in defense,behagana,,,
4034,בהגנה,in the defense,bahagana,,,
4035,בדרכו,on his way / his way,bedarko,,,
4036,בטענה,arguing that / claiming that,bete'ana,,,
4037,בטענה,arguing that / claiming that,bate'ana,,,
4038,נתנו,gave (pl.),natnu,,,
4039,משטרה,police,mishtara,,,
4040,מפגש,meeting / encounter / reunion,mifgash,,,
4041,מאזור,from an area,me'ezor,,,
4042,לשיא,to the top / to the peak,lasi,,,
4043,לשיא,to a top / to a peak,lesi,,,
4044,תוצאה,result / outcome / consequence,totsa'a,,,
4045,תכנן,planned / designed (m.s.),tikhnen,,,
4046,שעברו,that passed (pl.),she'avru,,,
4047,הסכמה,agreement,haskama,,,
4048,גרמה,caused (f.s.),garma,,,
4049,במובן,in the sense of,bemuvan,,,
4050,במובן,in the sense,bamuvan,,,
4051,סגור,closed (m.s.),sagur,,,
4052,הסובייטית,the soviet (f.s.),hasovyetit,,,
4053,מטוסי,my airplane,metosi,,,
4054,מטוסי,the airplanes of,metosei,,,
4055,המחנות,the camps / the groups,hamakhanot,,,
4056,הטנקים,the tanks,hatankim,,,
4057,אימפריית,empire of,imperyat,,,
4058,פיקודו,his command,pikudo,,,
4059,ולמעשה,and in fact,ulema'ase,,,
4060,שנועדה,that is/was intended for / that is/was destined for / that conferred (f.s.),sheno'ada,,,
4061,התגוררו,lived (pl.),hitgoreru,,,
4062,התנגד,resisted / objected (m.s.),hitnaged,,,
4063,הודו,thanked / confessed (pl.),hodu,,,
4064,ההרים,the mountains,haharim,,,
4065,ליחידות,to/for the unit / to/for the squad,liykhidat,,,
4066,שהוקמה,that was established (f.s.),shehukma,,,
4067,הוראות,orders / instructions,hora'ot,,,
4068,הפעיל,the active / the activist (m.s.),hapa'il,,,
4069,הפעיל,operated / activated (m.s.),hif'il,,,
4070,כשל,failure / mishap / lapse,keshel,,,
4071,כשל,failed (m.s.),kashal,,,
4072,המדובר,the said / that was spoken (m.s.),hamedubar,,,
4073,השינוי,the change,hashinui,,,
4074,בשנית,again,bashenit,,,
4075,מקלעים,machine guns,mikla'im,,,
4076,מצע,platform / bedding,matsa,,,
4077,לקבוצת,to/for the group of,lekvutsat,,,
4078,הקלעים,the curtains,hakla'im,,,
4079,הקלעים,the marksmen,hakala'im,,,
4080,נועדה,intended for / destined for / conferred (f.s.),no'ada,,,
4081,מעורב,mixed / involved (m.s.),me'orav,,,
4082,מחברי,the authors of,mekhabrei,,,
4083,מחברי,from the friends of / from the members of,mekhavrei,,,
4084,מחברי,connectors of,makhberei,,,
4085,מחברי,from my friend,mekhaveri,,,
4086,מטבח,kitchen,mitbakh,,,
4087,תפקידו,his role,tafkido,,,
4088,שימושים,uses,shimushim,,,
4089,עובדים,workers,ovdim,,,
4090,הפרשה,the affair / the chapter / the portion,haparasha,,,
4091,הפרשה,secretion / setting aside / allowance,hafrasha,,,
4092,האנושות,humanity / mankind,ha'enoshut,,,
4093,הרחבה,widening / broadening,harkhava,,,
4094,הרחבה,the square,harakhava,,,
4095,בבסיס,at the basis of,bivsis,,,
4096,בבסיס,at the basis / at the base,babasis,,,
4097,אדריכל,architect,adrikhal,,,
4098,פרעות,pogroms / riot,pra'ot,,,
4099,הפעולות,the actions / the operations / the deeds / the transactions,hape'ulot,,,
4100,משימות,tasks / assignments / missions,mesimot,,,
4101,המרכזיים,the central (m.pl.),hamerkaziyim,,,
4102,הכלים,the articles / the dish / the vessels / the ware / the tools,hakelim,,,
4103,מסחרי,commercial (m.s.),miskhari,,,
4104,הוצאת,taking out [of] / publishing of,hotsa'at,,,
4105,הוצאת,you took out (f.s.),hotset,,,
4106,מאפייני,the characteristics of,me'afyenei,,,
4107,טמפרטורה,temperature,temperatura,,,
4108,פותח,opens (m.s.),pote'akh,,,
4109,העשרה,enrichment,ha'ashara,,,
4110,הייסורים,the torment / the agony,hayisurim,,,
4111,האבולוציה,the evolution,ha'evolutsia,,,
4112,העצם,the bone,ha'etsem,,,
4113,מהירות,speed / velocity,mehirut,,,
4114,לספורטאים,to/for athletes,lesporta'im,,,
4115,לספורטאים,to/for the athletes,lasporta'im,,,
4116,גדילי,fringes of,gdilei,,,
4117,מירוץ,race,meruts,,,
4118,מלאכותית,artificial (f.s.),melakhutit,,,
4119,נגיף,virus,nagif,,,
4120,ובכן,well,uvkhen,,,
4121,כמוני,like me,kamoni,,,
4122,המון,crowd / plenty,hamon,,,
4123,בריה,creature,briya,,,
4124,ושוב,and again / and return (m.s. imperative),veshuv,,,
4125,השעון,the clock / the watch,hasha'on,,,
4126,החיות,the animals,hakhayot,,,
4127,החיות,the vitality,hakhayut,,,
4128,הגברת,enhancement / amplification / strengthening,hagbarat,,,
4129,מספרים,numbers,misparim,,,
4130,מספרים,from books,misfarim,,,
4131,מספרים,tell (m.pl.),mesaprim,,,
4132,לאנשים,to/for people,le'anashim,,,
4133,לאנשים,to/for the people,la'anashim,,,
4134,איתם,with them (m.),itam,,,
4135,המעשה,the deed / the story / he tale,hama'ase,,,
4136,מונח,term / laid,munakh,,,
4137,שים,put (m.s. imperative),sim,,,
4138,מר,Mr. / bitter,mar,,,
4139,מסכים,agrees (m.s.),maskim,,,
4140,ארצה,her country,artsa,,,
4141,ארצה,to the country,artsa,,,
4142,הלח,the humid,halakh,,,
4143,בשיא,at the peak / at the top,basi,,,
4144,בשיא,at a top / at a peak,besi,,,
4145,משטרת,police of,mishteret,,,
4146,יערות,forests,ye'arot,,,
4147,למרחק,to a long distance / to a distance of,lemerkhak,,,
4148,ואולי,and maybe / and perhaps,ve'ulai,,,
4149,הסופרים,the authors,hasofrim,,,
4150,גביע,cup / grail,gavi'a,,,
4151,במעלה,up [the],be'ma'ale,,,
4152,במעלה,priority / [in] a virtue / [in] a degree,bema'ala,,,
4153,ביתר,[in] the rest,beyeter,,,
4154,בחצי,in half / by half,bekhetsi,,,
4155,בחצי,in the half,bakhetsi,,,
4156,ראשונה,first (f.s.),rishona,,,
4157,רגיל,usual / used to (m.s.),ragil,,,
4158,נזק,damage,nezek,,,
4159,מתחילים,start (m.pl.),matkhilim,,,
4160,מגע,contact / touch,maga,,,
4161,ירידה,going down / coming down / descent / decrease,yerida,,,
4162,קובע,determines / fixes / sets (m.s.),kove'a,,,
